parameter,value
[SINGLE RADIANT POWER MEASUREMENT], 
author,Gauthier Patin
date_time,2023-11-08 11:46:44
[PROJECT], 
project_Id,2023-8005
PL,Frank Ligterink
ML,Gauthier Patin
aanvraagdatum,2023-09-01
uiterste_datum,2024-02-01
comments,
[LAMP DATA], 
lamp,LED01_Fotonowy MFT white 2700K
option,Fotonowy-MFT_700mA
zoom,none
iris,none
lamp_fiber,none
lamp_filter,noFilter_noFilter
distance_mm,0.0
[DEVICE DATA], 
device,LM01_PM100USB_Thorlabs
sensor_type,S405C_Thorlabs thermopile-based sensor
sensor_area_m2,0.0001
[ANALYSIS DATA], 
Id,P.00020
group,G01
duration_min,61
interval_sec,30
measurements_N,124
[STATS], 
mean_power_mW,5.2982
std_power_mW,0.0578
[MEASUREMENT DATA], 
time_sec,power_mW
0,5.1995000000000005
30,5.1926000000000005
60,5.198300000000001
90,5.1972
120,5.2004
150,5.1996
180,5.2034
210,5.2021999999999995
240,5.2036
270,5.2052000000000005
300,5.2094000000000005
330,5.209499999999999
360,5.211399999999999
390,5.2134
420,5.2146
450,5.2166
480,5.216100000000001
510,5.2197
540,5.2208000000000006
570,5.2211
600,5.2229
630,5.2265999999999995
660,5.2277000000000005
690,5.228199999999999
720,5.2313
750,5.2331
780,5.2345999999999995
810,5.238300000000001
840,5.2421999999999995
870,5.2445
900,5.2464
930,5.2496
960,5.2522
990,5.2549
1020,5.256600000000001
1050,5.2568
1080,5.2598
1110,5.260199999999999
1140,5.2622
1170,5.263
1200,5.2644
1230,5.2672
1260,5.2656
1290,5.272200000000001
1320,5.270300000000001
1350,5.2782
1380,5.2805
1410,5.2851
1440,5.2871999999999995
1470,5.2884
1500,5.2907
1530,5.2888
1560,5.2939
1590,5.2939
1620,5.2973
1650,5.2972
1680,5.296
1710,5.2969
1740,5.3044
1770,5.3012
1800,5.3026
1830,5.3056
1860,5.3077000000000005
1890,5.3072
1920,5.3117
1950,5.3158
1980,5.32
2010,5.32
2040,5.3224
2070,5.3267
2100,5.3267
2130,5.3262
2160,5.3283000000000005
2190,5.3294
2220,5.3301
2250,5.3304
2280,5.3281
2310,5.3245000000000005
2340,5.327
2370,5.3354
2400,5.3337
2430,5.3384
2460,5.3361
2490,5.3392
2520,5.3434
2550,5.346
2580,5.3454
2610,5.3514
2640,5.3506
2670,5.3481
2700,5.3498
2730,5.3521
2760,5.3512
2790,5.353
2820,5.3539
2850,5.3506
2880,5.353400000000001
2910,5.3558
2940,5.3532
2970,5.355
3000,5.360099999999999
3030,5.361999999999999
3060,5.3642
3090,5.3638
3120,5.3635
3150,5.366700000000001
3180,5.3683000000000005
3210,5.3681
3240,5.3688
3270,5.3679
3300,5.3673
3330,5.3668
3360,5.3614
3390,5.366499999999999
3420,5.368
3450,5.3652999999999995
3480,5.3678
3510,5.3695
3540,5.3693
3570,5.3724
3600,5.3726
3630,5.3735
3660,5.3768
3690,5.3763
